rank,Name,Img,Page_link,Genres,Percentage,Users,row format,episodes,date,status,Action,Adventure,Drama,Fantasy,Mystery,Slice of Life,Comedy,Sci-Fi,Psychological,Thriller,Romance,Supernatural,Sports,Ecchi,Mecha,Horror,Music,Mahou Shoujo
866,Ajin 2,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21799-0WB0vWJJ7mFX.jpg,https://anilist.co/anime/21799/Ajin-2/,"['Action', 'Adventure', 'Horror', 'Mystery', 'Supernatural']",75,26860,TV Show,13,Fall 2016,Finished,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
867,Bishoujo Senshi Sailor Moon: Crystal - Death Busters-hen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21462-bRbgZYf4Sgxj.jpg,https://anilist.co/anime/21462/Bishoujo-Senshi-Sailor-Moon-Crystal--Death-Bustershen/,"['Action', 'Fantasy', 'Mahou Shoujo']",75,5848,TV Show,13,Spring 2016,Finished,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
868,Aikatsu! 4,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21307-RPQijigOn6xG.jpg,https://anilist.co/anime/21307/Aikatsu-4/,['Music'],75,1025,TV Show,26,Fall 2015,Finished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
869,Shigatsu wa Kimi no Uso: Moments,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/21039-X68Dgfa7VG2v.jpg,https://anilist.co/anime/21039/Shigatsu-wa-Kimi-no-Uso-Moments/,"['Music', 'Slice of Life']",75,13846,OVA,1,Spring 2015,Finished,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
870,Kangoku Gakuen,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20807-8nFoO0AUdGsy.jpg,https://anilist.co/anime/20807/Kangoku-Gakuen/,"['Comedy', 'Ecchi']",75,75118,TV Show,12,Summer 2015,Finished,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
871,Ao Haru Ride,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20596-fJdMHV8xRMgY.png,https://anilist.co/anime/20596/Ao-Haru-Ride/,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",75,68982,TV Show,12,Summer 2014,Finished,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
872,Pocket Monsters: The Origin,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20159-Q4VpDs7q2j3O.png,https://anilist.co/anime/20159/Pocket-Monsters-The-Origin/,"['Action', 'Adventure', 'Fantasy']",75,24909,Special,4,Fall 2013,Finished,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,Kyoukai no Kanata,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx18153-oDqA9zQzQPOq.png,https://anilist.co/anime/18153/Kyoukai-no-Kanata/,"['Drama', 'Fantasy', 'Slice of Life', 'Supernatural']",75,103672,TV Show,12,Fall 2013,Finished,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
874,Magic Kaito,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx8310-FfunDT6K2wZb.jpg,https://anilist.co/anime/8310/Magic-Kaito/,['Adventure'],75,6446,Special,12,2010 - 2012,Finished,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,Higashi no Eden,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx5630-l1YM9YDO8tpt.png,https://anilist.co/anime/5630/Higashi-no-Eden/,"['Action', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",75,47873,TV Show,11,Spring 2009,Finished,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
